,Date,Month,Year,Genre,Hours_watched,Hours_streamed,Peak_viewers,Peak_channels,Streamers,Avg_viewers,Avg_channels,Avg_viewer_ratio,freq
1202,4-2021,4,2021,Indie,37729743,1824619,504778,5586,320808,52473,2535,272.5,6
1203,4-2021,4,2021,Platform,31659737,1104975,1027038,3611,170315,44029,1531,832.2600000000001,13
1204,4-2021,4,2021,Puzzle,21564979,836030,433019,2970,136004,29990,1161,139.74,5
1205,4-2021,4,2021,Quiz/Trivia,3897616,85087,78397,449,32600,5420,118,45.81,1
1206,4-2021,4,2021,Pinball,3779877,97477,87295,493,9407,5257,135,38.78,1
1207,4-2021,4,2021,Fighting,18305360,547722,814588,2611,81004,25456,757,485.96000000000004,9
1208,4-2021,4,2021,Racing,15602455,675726,455787,4179,93452,21697,936,285.88,8
1209,4-2021,4,2021,Real Time Strategy (RTS),9097436,148805,260715,595,17758,12650,204,446.5899999999999,6
1210,4-2021,4,2021,Music,3232873,301070,118683,810,61592,4495,418,23.869999999999997,2
1211,4-2021,4,2021,Point-and-click,1596587,49347,10180,126,3073,2220,68,32.35,1
1212,4-2021,4,2021,nan,2299829,16768,137347,59,1499,3197,23,285.69,2
1213,4-2021,4,2021,Hack and slash/Beat 'em up,841198,48052,18159,137,6017,1169,66,17.51,1
1214,5-2021,5,2021,Shooter,912105831,34378252,6867267,127337,2930646,1227573,46252,1247.11,44
1215,5-2021,5,2021,Adventure,389704845,7325237,2656861,22691,701184,524497,9853,356.17,9
1216,5-2021,5,2021,MOBA,225133441,4283250,1535603,9467,289652,303005,5763,151.48,3
1217,5-2021,5,2021,Simulator,167113603,6931590,2075637,20513,769239,224908,9321,1290.5300000000002,16
1218,5-2021,5,2021,Strategy,140020094,2124245,1361790,6185,206398,188446,2851,1051.57,13
1219,5-2021,5,2021,Role-playing (RPG),122640111,5026599,1922651,24286,394307,165041,6742,2408.2799999999997,39
1220,5-2021,5,2021,Sport,38872938,1491636,1773215,4562,225078,52317,2006,198.62,3
1221,5-2021,5,2021,Indie,33088894,2029701,566789,5963,339102,44531,2729,212.6,7
1222,5-2021,5,2021,Fighting,22739107,845008,675806,5088,130888,30599,1134,351.77,10
1223,5-2021,5,2021,Real Time Strategy (RTS),7284961,103297,95008,276,10804,9804,137,211.57,3
1224,5-2021,5,2021,Racing,18866539,741317,397489,3821,96975,25386,992,1042.0800000000002,11
1225,5-2021,5,2021,Pinball,3445331,100171,83203,472,9454,4637,134,34.39,1
1226,5-2021,5,2021,Puzzle,7795876,524095,218671,1692,86925,10491,703,82.27000000000001,4
1227,5-2021,5,2021,Tactical,4068180,359780,130668,1348,65262,5475,483,30.23,2
1228,5-2021,5,2021,Platform,19574076,923667,670860,2671,132995,26336,1236,935.3199999999999,13
1229,5-2021,5,2021,Quiz/Trivia,2835887,73815,139156,374,28912,3816,99,38.42,1
1230,5-2021,5,2021,Music,2251866,238619,20317,569,40240,3030,321,9.44,1
1231,5-2021,5,2021,Point-and-click,2589605,66568,19413,183,4251,3484,88,103.19,2
1232,5-2021,5,2021,nan,837244,9220,11441,31,753,1126,12,90.81,1
1233,5-2021,5,2021,Hack and slash/Beat 'em up,834527,49594,19656,128,5636,1123,66,16.83,1
1234,6-2021,6,2021,Shooter,649438384,29030680,4028261,88194,2468388,903232,40360,1032.9400000000003,41
1235,6-2021,6,2021,Adventure,311376356,6798397,1877596,23712,643085,433064,9451,565.13,10
1236,6-2021,6,2021,MOBA,211894974,3774342,1099167,8150,257208,294706,5248,173.16000000000003,3
1237,6-2021,6,2021,Simulator,147751766,6587207,1526558,24156,750868,205487,9152,548.09,15
1238,6-2021,6,2021,Strategy,129211853,1771435,968085,4979,174471,179705,2459,803.3199999999999,12
1239,6-2021,6,2021,Role-playing (RPG),134786443,4922773,2088773,24091,403473,187442,6823,1679.16,44
1240,6-2021,6,2021,Sport,40469914,1197392,677315,3696,187495,56284,1663,736.41,5
1241,6-2021,6,2021,Fighting,25020374,945107,532375,5444,129578,34794,1310,297.74000000000007,10
1242,6-2021,6,2021,Real Time Strategy (RTS),12884711,135024,150078,398,17229,17919,186,392.99,4
1243,6-2021,6,2021,Racing,15773960,566694,548172,2994,77088,21935,783,710.0500000000001,9
1244,6-2021,6,2021,Platform,15844409,819868,552416,2224,116833,22032,1135,415.72999999999996,10
1245,6-2021,6,2021,Indie,10225861,676539,130058,2578,113132,14221,939,94.42,4
1246,6-2021,6,2021,Pinball,3784591,90387,120262,460,9096,5263,125,41.87,1
1247,6-2021,6,2021,Puzzle,8095245,455997,173637,2074,73302,11257,631,160.58999999999997,5
1248,6-2021,6,2021,Tactical,4326116,338499,40062,1761,62896,6016,470,31.049999999999997,2
1249,6-2021,6,2021,Quiz/Trivia,2149790,57316,245374,231,23358,2989,79,37.51,1
1250,6-2021,6,2021,Music,1950173,210307,28096,522,35943,2712,292,9.27,1
1251,6-2021,6,2021,Hack and slash/Beat 'em up,2919119,92102,133453,759,12499,4059,127,76.25999999999999,2
1252,6-2021,6,2021,Point-and-click,2148717,67356,24726,205,4384,2988,92,75.72,2
1253,6-2021,6,2021,nan,980201,9174,15483,33,643,1363,12,106.85,1
1254,7-2021,7,2021,Shooter,656410199,29677492,5097398,78960,2568753,883439,39922,1345.6499999999999,40
1255,7-2021,7,2021,Adventure,260632224,6997122,2019685,20188,683281,350780,9412,331.55999999999995,10
1256,7-2021,7,2021,MOBA,178494941,3699279,925519,7685,253181,240234,4978,134.25,3
1257,7-2021,7,2021,Simulator,122076422,7037319,1543831,18327,799140,164293,9464,344.78000000000003,15
1258,7-2021,7,2021,Role-playing (RPG),200877684,5775908,3589165,36333,456600,270338,7753,1902.7200000000005,43
1259,7-2021,7,2021,Strategy,114090229,1821993,1199855,5186,166361,153542,2443,1852.6399999999999,16
1260,7-2021,7,2021,Sport,34708132,1166794,1054482,3660,184590,46711,1567,492.77,5
1261,7-2021,7,2021,Real Time Strategy (RTS),20532235,193053,215018,937,21935,27632,258,470.31,4
1262,7-2021,7,2021,Racing,15756659,524891,302673,2995,72156,21204,703,648.26,8
1263,7-2021,7,2021,Indie,10212617,694806,269735,1923,114012,13743,934,94.87,4
1264,7-2021,7,2021,Fighting,19740772,580745,469318,2722,76929,26565,778,434.09,9
1265,7-2021,7,2021,Puzzle,8126547,511334,285516,1726,88108,10935,686,297.03000000000003,6
1266,7-2021,7,2021,Tactical,4068428,326688,160590,1090,61707,5474,439,33.86,2
1267,7-2021,7,2021,Point-and-click,3646292,82759,25445,237,5608,4907,111,87.49,2
1268,7-2021,7,2021,Pinball,2908319,88265,58780,434,8810,3914,118,32.95,1
1269,7-2021,7,2021,Platform,14869249,886517,578560,2343,122105,20006,1190,325.4,10
1270,7-2021,7,2021,nan,2082608,11848,42996,39,951,2802,15,175.78,1
1271,7-2021,7,2021,Quiz/Trivia,1815673,55065,94316,190,21655,2443,74,32.97,1
1272,7-2021,7,2021,Music,1806284,212647,16030,441,36478,2431,286,8.49,1
1273,7-2021,7,2021,Hack and slash/Beat 'em up,1571005,78643,17105,199,8484,2114,105,19.98,1
1274,8-2021,8,2021,Shooter,654766227,30058549,5576512,147270,2691865,881224,40432,964.42,42
1275,8-2021,8,2021,Adventure,251304240,5443235,2343469,14148,573514,338226,7322,1019.1200000000001,8
1276,8-2021,8,2021,MOBA,182179346,3754902,1155954,7460,254888,245194,5052,127.44000000000001,3
1277,8-2021,8,2021,Simulator,140331991,6136892,1504664,15777,659334,188865,8253,1480.4200000000003,17
1278,8-2021,8,2021,Strategy,122752854,1964336,1285279,6004,181911,165205,2636,1584.3800000000003,16
1279,8-2021,8,2021,Role-playing (RPG),134481009,4842737,2015544,19288,397178,180977,6499,1478.6200000000003,38
1280,8-2021,8,2021,Sport,31785057,1112960,688996,3504,170575,42777,1496,337.78999999999996,4
1281,8-2021,8,2021,Point-and-click,11166659,133351,374923,1438,21696,15028,179,155.84,2
1282,8-2021,8,2021,Puzzle,26206541,692288,861791,4808,133523,35266,928,892.47,8
1283,8-2021,8,2021,Platform,20995670,807829,569253,2836,113061,28254,1082,651.41,10
1284,8-2021,8,2021,Real Time Strategy (RTS),9857801,158791,100377,431,17686,13266,212,176.68,3
1285,8-2021,8,2021,Hack and slash/Beat 'em up,7316491,332516,208577,1676,32815,9846,446,64.09,3
1286,8-2021,8,2021,Fighting,20011044,580081,437482,2035,78874,26928,777,270.40999999999997,8
1287,8-2021,8,2021,Indie,6320876,450107,34708,931,46221,8506,605,27.33,2
1288,8-2021,8,2021,Quiz/Trivia,3820713,68052,104247,241,25977,5142,91,56.14,1
1289,8-2021,8,2021,Racing,14787502,466186,503366,2449,66068,19898,623,451.55999999999995,9
1290,8-2021,8,2021,nan,3905815,48920,216416,752,8565,5256,65,218.69,2
1291,8-2021,8,2021,Music,2987678,210699,52917,449,35585,4020,283,212.26000000000002,2
1292,8-2021,8,2021,Pinball,2740908,95127,112665,700,10181,3688,127,116.25,2
1293,8-2021,8,2021,Tactical,878166,37917,18575,117,1755,1181,51,23.16,1
1294,9-2021,9,2021,Shooter,615580511,25277174,5519250,147321,2216420,856143,35136,1032.94,38
1295,9-2021,9,2021,Adventure,280122581,5414631,2761813,31436,544529,389595,7526,455.54,9
1296,9-2021,9,2021,MOBA,143461977,3462828,788300,7472,239109,199528,4815,112.57,3
1297,9-2021,9,2021,Simulator,182330801,6440815,2152719,28236,710662,253582,8949,722.6899999999999,18
1298,9-2021,9,2021,Role-playing (RPG),174968294,6126535,2703181,42622,478619,243328,8504,1605.9000000000003,40
1299,9-2021,9,2021,Strategy,109319211,1883375,819604,5405,172961,152038,2612,951.1199999999999,16
1300,9-2021,9,2021,Sport,24461147,919697,405985,2916,142460,34019,1276,253.34,4
1301,9-2021,9,2021,Puzzle,15692089,720580,416567,3051,129674,21819,999,430.31,9
1302,9-2021,9,2021,Tactical,7479731,514268,122416,2074,93783,10402,714,35.05,2
1303,9-2021,9,2021,Indie,13854556,882723,237083,3476,150118,19266,1226,98.6,5
1304,9-2021,9,2021,Real Time Strategy (RTS),8321100,135399,174244,718,17241,11571,186,276.37,4
1305,9-2021,9,2021,Hack and slash/Beat 'em up,4899224,155934,118858,422,15089,6813,216,56.83,2
1306,9-2021,9,2021,Fighting,12024933,373926,375189,1372,54856,16722,516,246.46,7
1307,9-2021,9,2021,Platform,12006258,583368,281960,1606,80519,16695,806,610.66,8
1308,9-2021,9,2021,nan,3040667,22313,35190,74,1488,4228,30,257.24,2
1309,9-2021,9,2021,Point-and-click,6279566,140782,85085,554,16182,8731,193,342.39,5
1310,9-2021,9,2021,Music,2034531,192961,18592,466,32066,2829,268,10.54,1
1311,9-2021,9,2021,Racing,9818086,384073,273189,2091,54795,13653,530,289.89,7
1312,9-2021,9,2021,Quiz/Trivia,1720138,57555,51835,206,22389,2392,80,29.89,1
1313,9-2021,9,2021,Pinball,1957218,104020,78711,773,10699,2721,144,48.07,2
1314,9-2021,9,2021,Arcade,927505,10497,56167,208,3277,1289,14,88.36,1
1315,10-2021,10,2021,MOBA,308683862,3240495,4007334,7404,224022,415454,4360,250.98000000000002,3
1316,10-2021,10,2021,Shooter,579504531,24590575,4493613,77355,2050003,779931,33078,1381.1899999999998,43
1317,10-2021,10,2021,Adventure,311235734,7084747,2131333,23163,580469,418886,9529,390.30000000000007,11
1318,10-2021,10,2021,Strategy,170056983,1770614,2742538,7275,159109,228871,2373,10749.240000000002,18
1319,10-2021,10,2021,Role-playing (RPG),193015613,6705997,2043572,26060,417282,259763,9008,1194.2900000000002,33
1320,10-2021,10,2021,Simulator,184109495,6444318,2483144,19352,671701,247785,8665,367.08000000000004,13
1321,10-2021,10,2021,Sport,31443921,877630,400892,2561,128883,42317,1180,278.37,4
1322,10-2021,10,2021,Platform,24743983,877769,1256419,3848,120244,33298,1176,365.32000000000005,9
1323,10-2021,10,2021,Puzzle,12690887,726405,315210,4916,139995,17077,973,164.14999999999998,6
1324,10-2021,10,2021,Tactical,7525698,508808,168685,3699,96685,10128,684,14.79,1
1325,10-2021,10,2021,Indie,15237221,912171,294131,5151,159485,20505,1225,107.67,5
1326,10-2021,10,2021,Fighting,22816415,602499,708428,6221,91515,30702,804,617.28,12
1327,10-2021,10,2021,Real Time Strategy (RTS),13977117,196441,285788,1741,23827,18808,260,634.75,8
1328,10-2021,10,2021,nan,2756349,13709,29197,43,1064,3709,18,201.06,1
1329,10-2021,10,2021,Pinball,2610488,81225,214433,398,7781,3513,109,32.14,1
1330,10-2021,10,2021,Point-and-click,4589189,70576,28687,242,3292,6176,94,170.98000000000002,2
1331,10-2021,10,2021,Card & Board Game,2055585,18830,93401,859,4314,2766,25,109.17,1
1332,10-2021,10,2021,Racing,10571476,394639,310771,2589,53721,14224,527,343.9,8
1333,10-2021,10,2021,Music,1766303,185162,12562,456,29739,2377,249,9.54,1
1334,10-2021,10,2021,Quiz/Trivia,1280243,49645,41414,187,18210,1723,66,25.79,1
1335,10-2021,10,2021,Hack and slash/Beat 'em up,1566108,77265,26982,261,7622,2107,103,40.32,2
1336,11-2021,11,2021,Shooter,585333120,24751953,5884225,91410,2119113,814077,34407,935.16,39
1337,11-2021,11,2021,Adventure,225852485,4714789,3182479,19203,429656,314115,6554,617.3,9
1338,11-2021,11,2021,MOBA,103634855,2465909,3088634,5400,195690,144137,3429,64.81,2
1339,11-2021,11,2021,Simulator,147961502,5517900,1361828,19167,561035,205781,7666,442.15,15
1340,11-2021,11,2021,Strategy,155214426,2386165,1724595,7649,268565,215867,3310,1041.85,17
1341,11-2021,11,2021,Turn-based strategy (TBS),37320063,437788,112329,1107,44746,51905,608,85.25,1
1342,11-2021,11,2021,Tactical,42847398,813867,213893,4923,114155,59592,1130,120.45,3
1343,11-2021,11,2021,Card & Board Game,44718249,498017,293734,1494,55658,62194,691,208.07999999999998,2
1344,11-2021,11,2021,Role-playing (RPG),126324051,4629543,1796743,18442,339933,175677,6421,2317.39,40
1345,11-2021,11,2021,Sport,30988477,797925,934496,2222,120662,43098,1109,204.7,2
1346,11-2021,11,2021,Real Time Strategy (RTS),25041127,297374,313353,1127,33917,34824,410,455.17,6
1347,11-2021,11,2021,Fighting,29460075,552596,646104,2162,119448,40970,765,450.64000000000004,8
1348,11-2021,11,2021,Racing,35942637,1124279,737938,6939,196834,49985,1559,386.53,9
1349,11-2021,11,2021,Puzzle,12170169,544843,397684,4907,107154,16924,753,222.18,6
1350,11-2021,11,2021,Indie,5911025,323403,52912,748,37583,8220,449,37.44,2
1351,11-2021,11,2021,Platform,14009346,715626,321154,2120,95459,19479,991,588.1500000000001,10
1352,11-2021,11,2021,nan,4779438,29798,82930,113,2859,6646,40,4013.4399999999996,3
1353,11-2021,11,2021,Point-and-click,5672671,100864,68852,395,10781,7888,138,179.28,3
1354,11-2021,11,2021,Pinball,2333045,75756,107179,416,7479,3244,105,30.8,1
1355,11-2021,11,2021,Music,1821776,170589,34946,404,27796,2533,237,10.68,1
1356,11-2021,11,2021,Quiz/Trivia,1265138,46334,77588,183,16320,1759,64,27.3,1
1357,11-2021,11,2021,Hack and slash/Beat 'em up,1629004,77149,42996,240,7995,2264,106,49.03,2
1358,12-2021,12,2021,Shooter,630420943,25908036,5988239,160474,2231099,848461,34847,1555.29,41
1359,12-2021,12,2021,Adventure,208715678,5306327,1443509,16192,492904,280905,7137,319.44,8
1360,12-2021,12,2021,MOBA,139523393,3228071,807570,7170,233012,187783,4342,122.47,3
1361,12-2021,12,2021,Simulator,143838661,6071713,1669027,18608,646726,193584,8166,600.59,17
1362,12-2021,12,2021,Strategy,142553215,2139288,1433901,5970,205877,191852,2869,1064.2299999999998,17
1363,12-2021,12,2021,Role-playing (RPG),131952281,4731803,1778077,19156,345930,177575,6348,1581.9899999999998,40
1364,12-2021,12,2021,Sport,25199357,780389,570176,2538,123334,33915,1049,171.8,2
1365,12-2021,12,2021,Real Time Strategy (RTS),18383443,213168,394176,714,25052,24739,282,1402.58,6
1366,12-2021,12,2021,Pinball,7676369,234543,164737,1305,19194,10330,314,62.269999999999996,2
1367,12-2021,12,2021,Puzzle,12764574,508955,316334,2374,74543,17178,683,143.95,4
1368,12-2021,12,2021,Fighting,16880146,368318,630793,2000,64390,22715,492,652.34,9
1369,12-2021,12,2021,Point-and-click,7900806,135755,146471,437,10246,10631,181,194.5,3
1370,12-2021,12,2021,nan,4540861,18140,102735,59,1359,6111,24,250.32,1
1371,12-2021,12,2021,Indie,5882825,342659,170219,750,38229,7917,461,35.29,2
1372,12-2021,12,2021,Platform,15954381,762988,672463,2243,102331,21469,1022,456.1400000000001,9
1373,12-2021,12,2021,Racing,12429675,544702,472946,2543,79463,16725,730,281.46999999999997,7
1374,12-2021,12,2021,Card & Board Game,2119764,26339,92039,125,5894,2852,35,80.48,1
1375,12-2021,12,2021,Music,2358931,185841,180005,421,29519,3174,249,155.93,2
1376,12-2021,12,2021,Hack and slash/Beat 'em up,2487443,90850,119765,294,9423,3347,121,60.08,2
1377,12-2021,12,2021,Quiz/Trivia,1204255,46813,34521,237,16493,1620,63,25.72,1
1378,12-2021,12,2021,Tactical,790781,34842,4597,134,1531,1064,46,22.7,1
